name
State of Alabama
State of Alaska
State of Arizona
State of Arkansas
State of California
State of Colorado
State of Connecticut
State of Delaware
District of Columbia
State of Florida
State of Georgia
State of Hawaii
State of Idaho
State of Illinois
State of Indiana
State of Iowa
State of Kansas
State of Kentucky
State of Louisiana
State of Maine
State of Maryland
State of Massachusetts
State of Michigan
State of Minnesota
State of Mississippi
State of Missouri
State of Montana
State of Nebraska
State of Nevada
Oneconnect Financial Technology Company
Cadiz
Claritev
Anbio Biotechnology
Rbb Bancorp
Fs Bancorp Warrant
Natural Gas Services
Lovesac Company
Hive Digital Technologies
8X8
Materialise
Rmr
Amc Networks
Kaltura
Docgo
Drugs Made In America Acquisition
Logistic Properties Of The Americas
Baycom
Ponce Financial
Spectral Capital
Galiano Gold Unit
Tat Technologies
Aldel Financial Ii
Regenxbio
Fst
Traeger
andretti Acquisition Ii
Jakks Pacific
Unisys
Civeo
Jackson Acquisition Company Ii
Benitec Biopharma
Northeast Community Bancorp Incmd
Prime Medicine
Domo
Seaport Entertainment
Ferrellgas Partners L P
Sanara Medtech
Mistras
Graftech International
Marine Products
Kulr Technology
Verano
Ni
Microvision
First Of Long Island
Atai Life Sciences
Smart Share Global
Colony Bankcorp
Viemed Healthcare
Asp Isotopes
Graf Global
Launch One Acquisition
Vishay Precision
Hcm Ii Acquisition
Mayville Engineering Company
Greystone Housing Impact Investors
Gsr Iii Acquisition
Mobilehealth Network Solutions
Foster L B Company
Launch Two Acquisition
First Bancorp Me
Atyr Pharma
Cerus
Terns Pharmaceuticals
Cresco Labs
Inventiva
Bark
Compx International
Mastercraft Boat
Mbia
Choiceone Financial Services
Sleep Number
Berry Bry
Nutex Health
Aleanna
Orange County Bancorp
Cs Disco Warrant
Pcb Bancorp
Jumia Technologies
Citizens Financial Services
Skyline Builders Holding
Chicago Atlantic Bdc
Linkbancorp
Zenas Biopharma
Barnes and Noble Education
Pacific Oak Strategic Opportunity Reit
Dakota Gold
Pure Cycle
Southern First Bancshares
Jaws Mustang Acquisition
New England Realty Associates Limited Partnership
Global Water Resources
Asure Software
South Dakota Soybean Processors
Satellogic
Diamedica Therapeutics
Rapport Therapeutics
Pamt
Greentree Hospitality
Spirits Capital
Unit
Cidara Therapeutics
Immutep
Aehr Test Systems
Park Aerospace
Vanda Pharmaceuticals
Frontview Reit
Acelyrin
Inspired Entertainment
Infinity Natural Resources
Neuronetics
Kolibri Global Energy
Poet Technologies
Waterstone Financial
Proficient Auto Logistics
Slam
Gossamer Bio
Johnson Outdoors
Gcl Global
Legato Merger Iii
Remax
Orasure Technologies
Septerna
Americas Gold and Silver
Aurora Cannabis
Falcons Beyond Global
Oatly Ab
Flyexclusive
Onewater Marine Warrant
Hyliion
Natures Sunshine Products
Genflat
Anteris Technologies Global
Plumas Bancorp
Zumiez
Amprius Technologies
Chargepoint
Amylyx Pharmaceuticals
Golden Matrix
Spire Global
Aardvark Therapeutics
Xchange Tecinc
First Internet Bancorp
Finwise Bancorp Warrant
Ispire Technology
John Marshall Bancorp
Hennessy Capital Investment Vii
Zspace
Annexon
Cardiff Oncology
Silverbox Iv
Hongchang International Company
C and F Financial
Aviat Networks Warrant
Corvus Pharmaceuticals
Design Therapeutics
Iteos Therapeutics
Atn International
Primis Financial
Whitehorse Finance
Hamilton Beach Brands Holding Company
Ares Commercial Real Estate
Blade Air Mobility
Helix Acquisition Ii
Oportun Financial
Alumis
Ironwood Pharmaceuticals
Ehealth
Rezolute
Bright Minds Biosciences
Tredegar
Fidelity D and D Bancorp
Xoma Royalty
Encore Energy Unit
Fact Ii Acquisition
Anika Therapeutics
Fold
Esg
Newhold Investment Iii
Helport Ai
Cooperstandard
Oaktree Acquisition Iii Life Sciences
Cryoport
Hudson Technologies Ny
Vasta Platform
Bankwell Financial
Thredup
Verastem
Transcontinental Realty Investors
Smartrent
Timberland Bancorp
Metalla Royalty and Streaming
Immersion
Citizens
Hightrend International
Abaxx Technologies
Uranium Royalty
Onity
Atea Pharmaceuticals
Aquestive Therapeutics
Chemung Financial
Neurogene
Landsea Homes
Ccis Acquisition
Plum Acquisition Iv
Sterling Bancorp
Nerdy
Bioceres Crop Solutions
A2Z Cust2Mate Solutions
Forafric Global
Euroseas
Evans Bancorp
Foghorn Therapeutics
Eledon Pharmaceuticals
American Realty Investors
Airsculpt Technologies
Norwood Financial
Ring Energy
Himalaya Shipping
Rubber Leaf
Ac Immune Unit
Mvb Financial
Sophia Genetics
Nacco Industries
Dennys
Ymabs Therapeutics
Beyond Meat
Zeo Energy
Parke Bancorp
G Willi Food International
Resources Connection
Eaco
Avita Medical
Xunlei
Athena Bitcoin Global
Eventbrite
Orion Office Reit
Neumora Therapeutics
First United Corpmd
Intchains
Sustainable Projects
On24
Flexsteel Industries
Palladyne Ai
Roman Dbdr Acquisition Ii
Proqr Therapeutics
Empire Petroleum
Hawaiian Electric Company
Allot
Penns Woods Bancorp
Codexis
Iheartmedia
Zynex
Fb Bancorp Md
Alliance Entertainment Holding
Sanuwave Health
Ceragon Networks
Wandt Offshore
Superior Of Companies
Colombier Acquisition Ii
Blue Foundry Bancorp
Hartford Creative
Electromed
Abeona Therapeutics
Standard Lithium
Princeton Bancorp
Zion Oil and Gas
Mamas Creations
Gold Royalty
Sealsq
Biote
Lanvin
Angel Oak Mortgage Reit
Azul
Oak Valley Bancorp
Melar Acquisition Icayman
Nouveau Monde Graphite
Alico
Lakeland Industries
Flotek Industries Inccn
Translational Development Acquisition
Evi Industries
Forum Energy Technologies
Belpointe Prep
First National Va
Hawthorn Bancshares
Wm Technology
Douyu International Unit
Braemar Hotels and Resorts
Finance Of America Companies
Korro Bio
Palvella Therapeutics
Wewards
Nevro
Tucows Pa
Trilogy Metals
Valens Semiconductor
One Power Company
Middlefield Banc
Keen Vision Acquisition
Performant Healthcare
Kingsway Financial Services
Canopy Growth
Amarin Plcuk
Voyager Therapeutics
Nip
Georgia Power Company
Inogen
Ioneer
Essa Bancorp
Lcnb
Provident Bancorp Md
Biostem Technologies
City Office Reit
Lifecore Biomedical
Tevogen Bio
Ses Ai
Hirequest
Zhengye Biotechnology Holding
California First Leasing
Profound Medical
Consumer Portfolio Services
Telos
Lifevantage
Arq
Skillsoft
Aclaris Therapeutics
Diana Shipping
Western Copper and Gold
Cantor Equity Partners I
Fvcbankcorp
Motorcar Parts Of America
Forrester Research
Investcorp Europe Acquisition I
Irobot
Quantumsi
Swk
Solid Power
Rgc Resources
Silence Therapeutics
Citi Trends
Jinxin Technology Holding Company
Escalade
Kodiak Sciences
Kingstone Companies
Alpha Tau Medical
Lifemd
Tss
Tango Therapeutics
American Outdoor Brands
Stealthgas
Western New England Bancorp
Soundthinking
Seritage Growth Properties
Verde Resources
Monopar Therapeutics
Accuray
Ellomay Capital
Strattec Security
Nfiniti
United Homes
Contextlogic
Utah Medical Products
Virginia National Bankshares
Emx Royalty
Op Bancorp
Caledonia Mining
Richtech Robotics
Inhibrx Biosciences
First Financial Northwest Warrant
High Tide
Zhen Ding Resources
Brc
Truecar
Vuzix
Marti Technologies
4D Molecular Therapeutics
Knot Offshore Partners
Kopin
Beroni
Oxford Square Capital
Lyell Immunopharma
Entravision Communications
Black Spade Acquisition Ii Company
First Western Financial Warrant
Innate Pharma
Futurefuel
Franklin Street Properties
First Community Sc
Sangamo Therapeutics
Playstudios
Richardson Electronics
Clipper Realty
Homestreet
Ellington Credit Company
Medallion Financial
Fennec Pharmaceuticals
Entergy Mississippi
Radcom
Molecular Partners
Global Cord Blood
Gen Restaurant
Qvc
Amplify Energy
Gauzy
Mediwound
Monroe Capital
Advanced Flower Capital
Sangoma Technologies
Energy Vault
James River
Genfit
Niu Technologies Unit
Investar Holding
Aeva Technologies
Travelzoo
Leslies
Verde Clean Fuels
Osisko Development
Newbury Street Ii Acquisition
Nanophase Technologies
Reitar Logtech
Entergy New Orleans
Perfect
Designer Brands
First Savings Financial
Netlist
New Pacific Metals
Gencor Industries
Ammo Warrant
Atlantic International
Integra Resources
Smith Midland
Isabella Bank
National Bankshares
Baozun
Brainsway
Spark I Acquisition
Southland
Ocugen
Inmune Bio
Sk Growth Opportunities
Eagle Financial Services
Trisalus Life Sciences
Fulcrum Therapeutics
Nanobiotix
Eastern Company
B Riley Financial
Equity Commonwealth
Meridian
Energy Services Of America
Clarus
Silvercrest Asset Management
Barings Participation Investors
Perspective Therapeutics
Contineum Therapeutics
Avino Silver and Gold Mines
Protalix Biotherapeutics
C4 Therapeutics
Larimar Therapeutics
Bcb Bancorp
Theglobe
Hanover Bancorp Ny
Prairie Operating Company
Inhibikase Therapeutics
Cargo Therapeutics
Ames National
Alta Equipment
Voxx International
Trueblue
Acrivon Therapeutics
Bv Financial
United Security Bancshares
Silvaco
Franklin Financial Services Pa
Evolution Petroleum
Dmc Global
Joint
Applied Energetics
Corecard
Puma Biotechnology
Compugen
Arbe Robotics
Bankfinancial
Novonix
Better Home and Finance Holding Company
Virco Mfg
First Northern Community Bancorp
Forge Global
Securetech Innovations
Full House Resorts
Dynamix
Ttec
Crawford United
Magnachip Semiconductor
Crexendo
Myomo
Csp
Atomera
Fiscalnote
Stereotaxis
Envela
Exozymes
Ib Acquisition
Trinseo
Cybin
Range Capital Acquisition
Luminar Technologies Incde
Chain Bridge Bancorp
Terrascend
Orchestra Biomed
Scpharmaceuticals
Tavia Acquisition
Goldmining
Beauty Health Company
Portman Ridge Finance
Infusystem Unit
Enanta Pharmaceuticals
Hennessy Capital Investment Vi
Lensar
Nautilus Biotechnology
Greenwich Lifesciences
Idaho Strategic Resources
Acres Commercial Realty
Old Point Financial
Arqit Quantum
Rf Acquisition Ii
Lightbridge
Medifast
Adc Therapeutics
Cheetah Mobile
Bioage Labs
Cf Bankshares
Verses Ai
Third Harmonic Bio
Cartesian Growth Ii
Mobile Infrastructure
Citizens Community Bancorp
Douglas Elliman
Critical Metals
Nektar Therapeutics
Longduoduo Company
Triller
Rumbleon
Koru Medical Systems
Stratus Properties
Arrowmark Financial
Zevia Pbc
Kewaunee Scientific Unit
Ohio Valley Banc
Stoneridge
Gran Tierra Energy
Information Services
Bny Mellon Municipal Income
Muncy Columbia Financial
Lightwave Logic
Modiv Industrial
Editas Medicine
Nwtn
Audioeye
Newegg Commerce
Ofs Credit Company
Freightcar America
Suro Capital
Cellectis
Martin Midstream Partners
Epsilon Energy
Sera Prognostics
Nuvectis Pharma
Champions Oncology
Cb Financial Services
Icts International N V
Westwood
Seacor Marine
Macrogenics
Park Ha Biological Technology Company
Phx Minerals
Aduro Clean Technologies
Aka Brands Holding
Dynagas Lng Partners
Eagle Bancorp Montana
Frequency Electronics
Acme United Unit
Piedmont Lithium
Nn
Perma Fix Environmental Services
Seanergy Maritime
Rocky Brands
Inseego
Alector
Huachen Ai Parking Management Technology Holding Company
American Vanguard
Peoples Bancorp Of North Carolina
Renovaro
Eva Live
United States Antimony
Quhuo
Fitlife Brands
Sb Financial
Innoviz Technologies
Rapt Therapeutics
Neonode
Vireo Growth
Lanzatech Global
Organigram
American Well
Ecb Bancorp Md
Euda Health
Rcm Technologies
Dirtt Environmental Solutions
Wellgistics Health
Eupraxia Pharmaceuticals
Toyo Company
Pearl Diver Credit Company
Landmark Bancorp
Baird Medical Investment
Egain
Bassett Furniture Industries
Zentalis Pharmaceuticals
Curiositystream
Netclass Technology
Brilliant Earth
Hooker Furnishings
1Stdibscom
Amj Global Technology
Plby
Vroom
Adaptimmune Therapeutics
Grown Rogue International
Rigel Resource Acquisition
Unifuels
Pyrophyte Acquisition
Sunhydrogen
Kinetic
Vanguard Green Investment
Union Bankshares
Richmond Mutual Bancorporation
Qnb
China Automotive Systems
Skyx Platforms
Great Elm Capital
Borealis Foods
Paysign
Troops Cayman Islands
Shoulderup Technology Acquisition
Genelux
Alithya
2Seventy Bio
Us Goldmining
Wellchange Company
Amrep
Brooge Energy
Mint
Seres Therapeutics
Actuate Therapeutics Unit
Affinity Bancshares
Awaysis Capital
Townsquare Media
Elutia
Innovative Food
Sight Sciences
Ree Automotive
Willow Lane Acquisition
Checkpoint Therapeutics
Coya Therapeutics
Freightos
Bell Rose Capital
Massimo
Vox Royalty
Ew Scripps Company
Virgin Galactic
Caesarstone
Mainstreet Bancshares
First Capital
Hurco Companies
Origin Materials
Telomir Pharmaceuticals
Pro Dex
Seer
Sutro Biopharma
Patria Latin American Opportunity Acquisition
Rekor Systems
Pyxus International
Tuniu
Embassy Bancorp
Nextchemx
Gogoro
Sound Financial Bancorp
Crown Lng
Mastech Digital
Everspin Technologies
Chenghe Acquisition Ii Company
Protara Therapeutics
Vor Biopharma
Quantasing
Fortitude Gold
Cardlytics
Dhi
Core Molding Technologies
Crimson Wine
Platinum Metals
Tiziana Life Sciences
Alpha One
Twin Disc
Foresight Financial
Instil Bio
Lineage Cell Therapeutics
Alto Ingredients
Star
Rego Payment Architectures
Coherus Biosciences
Innovative Solutions and Support
Mtron Industries
Marblegate Acquisition
Finward Bancorp
Cassava Sciences
Vacasa
Nkarta
Destination Xl
Kandi Technologies
Invivyd
Gopro
Bragg Gaming
Scully Royalty
Rhinebeck Bancorp
Perceptive Capital Solutions
Fate Therapeutics
Kvh Industries
Ofs Capital
Rapid Micro Biosystems
Spring Valley Acquisition Ii
Friedman Industries
Tlgy Acquisition
Kyverna Therapeutics
Heidmar Maritime
Benchmark Bankshares
William Penn Bancorporation
Lexicon Pharmaceuticals
Ascent Industries Company
Sagimet Biosciences
Plum Acquisition Iii
Big Tree Cloud
Innovate
Chegg
Fuelcell Energy
Genasys
Vaxart
Contango Ore
Cherry Hill Mortgage Investment
Veritone
Largo
Journey Medical
Schmid
Shepherd Ave Capital Acquisition
Solarbank
Viomi Technology Company
Intevac
Psq
Black Diamond Therapeutics
Planet 13
Ihuman
Phenixfin
Tillys
Gaia
Riverview Bancorp
Northern Technologies International
Lifetime Brands
Airship Ai
Tscan Therapeutics
Cantor Equity Partners
Permapipe International
Gulf Island Fabrication
Bk Technologies
Csb Bancorp
Wallbox
Canterbury Park Holding
Drilling Tools International
Cheche
First Guaranty Bancshares
Neovolta
51Talk Online Education
The9
Cloudastructure
Odysightai
Gamehaus
Mammoth Energy Services
Jin Medical International
Butler National
Quipt Home Medical
Zentek
Biodesix
Yxtcom Holding
Pathfinder Bancorp
Complete Solaria
Immunic
Intest
Bridger Aerospace
Sr Bancorp
Trailblazer Merger I
P3 Health Partners
Stabilis Solutions
Provident Financial
Ventyx Biosciences
Xbiotech
Procaps
Th International
Lvpai
Beo Bancorp
Utg
Bogota Financial
Childrens Place
Siebert Financial
Meritage Hospitality Unit
Achieve Life Sciences
Geospace Technologies
One Hospitality
Community Bancorp Vt
Electrocore
Concord Acquisition Ii
Lantronix
Unifi
Fg Merger Ii
Caribou Biosciences Unit
Wrap Technologies
Nobility Homes
Papaya Growth Opportunity I
Hf Foods
Castellum
Duluth
Ultralife
Artiva Biotherapeutics
Direct Selling Acquisition
Edap Tms
Evergreen
First Mining Gold
Currenc
Us Gold Unit
Paranovus Entertainment Technology
Global Lights Acquisition
Zomedica
Babcock and Wilcox Enterprises Warrant
Soyoung International
Epwk
Silicom
Universal Electronics
Tuhura Biosciences Incnv
Synchronoss Technologies
Alpha Cognition
Constellation Acquisition I
Brazil Potash
International Tower Hill Mines
Taylor Devices
Nano Labs
Security Federal
Bridgford Foods
Investcorp Ai Acquisition
Fonar
Research Solutions
Biomea Fusion
Huhutech International Unit
First Northwest Bancorp
Camp4 Therapeutics
Faraday Future Intelligent Electric
Galectin Therapeutics
Dt Cloud Acquisition
Elicio Therapeutics
Satixfy Communications
Pepgen
Co2 Energy Transition
Enb Financial
Inotiv
Magyar Bancorp
Tela Bio
Liveperson
Anixa Biosciences
Blink Charging Company
Black Hawk Acquisition
Atossa Therapeutics
Hongli
Goal Acquisitions
Inflection Point Acquisition Ii
Iron Horse Acquisitions
Pliant Therapeutics
Lake Shore Bancorp
Leishen Energy Holding Company
Niocorp Developments
Quest Resource Holding
Gct Semiconductor Holding
Horizon Space Acquisition I
Roadzen
Horizon Space Acquisition Ii
Sellas Life Sciences
Smart Sand
Flag Ship Acquisition
Dt Cloud Star Acquisition
Kraig Biocraft Laboratories
Luda Technology
Optimizerx
Climb Bio
Cardiol Therapeutics
Unusual Machines
Milestone Pharmaceuticals
Adagene
Sunlands Technology
Peoples Financial Ms
Wang and Lee
First Keystone
Blueone Card
Century Casinos Company
Adverum Biotechnologies
Skillz
Lightpath Technologies
Vigil Neuroscience
Ondas
Legacy Education
Petmed Express
Zenvia
Bynordic Acquisition
Hillevax
Bioharvest Sciences
Armlogi Holding
Arogo Capital Acquisition
Amcon Distributing Company
Quicklogic
Canalaska Uranium
Ix Acquisition
Bakkt
Valuence Merger I
Marchex
Compass Digital Acquisition
Purple Innovation
Red Robin Gourmet Burgers
Ai Transportation Acquisition
Alto Neuroscience
Dbv Technologies
Electrovaya
Mdxhealth
Adlai Nortye
Rani Therapeutics
Hennessy Advisors
Identiv
Vista Gold
Upland Software
Jasper Therapeutics
Senstar Technologies
Aemetis
Trx Gold
George Risk Industries
Inflarx
Amarc Resources
Corbus Pharmaceuticals
Coda Octopus
Nuveen California Select Tax Free Income Portfolio
Blueriver Acquisition
Webus International
Regulus Therapeutics
Imperial Petroleum Incmarshall Islands
Target Global Acquisition I
Shengfeng Development
Iris Acquisition
United Bancorp Oh
Cartica Acquisition
Atlas Lithium
Cabaletta Bio
Jvspac Acquisition
Ctrl
University Bancorp
Picocela
Asiafin
Intermap Technologies
Nukkleus
Vera Bradley
Astronova
Lexeo Therapeutics
Oramed Pharmaceuticals
Mntn
Aspac Iii Acquisition
Yhn Acquisition I
Gan
Franklin Wireless
Photozou
Lucid Diagnostics
Zura Bio
Pyrogenesis Canada
Alphatime Acquisition
Planet Image International
Cayson Acquisition
Medicinova
Inspiremd
Monogram Technologies
Helio Fl
Assembly Biosciences
Eureka Acquisition
Maiden
Milestone Scientific
Aeluma Unit
Basel Medical
Ocean Power Technologies
American Battery Technology Company
Emeren
If Bancorp
Alt5 Sigma
Nordicus Partners
Akoya Biosciences
Buzzfeed
Village Farms International
First Us Bancshares
Youxin Technology
Biolargo
Metal Sky Star Acquisition
Intercure
Bayfirst Financial
Cue Biopharma
Oncocyte
Skye Bioscience
Eltek
Vanjia
Nutriband
Theratechnologies
Future Vision Ii Acquisition
Heritage Global
Brillia
Aurion Resources
Cumberland Pharmaceuticals
Imab
Citius Oncology
Igm Biosciences
Rising Dragon Acquisition
Tenaya Therapeutics
Icecure Medical
Team
Fossil
Mays J W
Hyperfine
Ming Shing Warrant
Cbak Energy Technology
Sunnova Energy International
Sensus Healthcare
Auburn National Bancorporation
Ezagoo
Fractyl Health
Essa Pharma
Espey Mfg and Electronics
Assertio
Galaxy Gaming
Veru Unit
Dominari
Vistagen Therapeutics
Arena
Autozi Internet Technology Global
Owlet
Armata Pharmaceuticals
Creative Global Technology
Entera Bio
Cnfinance
Liveone
111
Dlh
Inozyme Pharma
Altenergy Acquisition
International Media Acquisition
Parkervision
Hannan Metals
Skyline Bankshares
Ssht Sandt
Pmv Pharmaceuticals
Caro
Fandm Bank
Delhi Bank
Beyondspring
Cslm Acquisition
Focus Impact Bh3 Acquisition Company
New Peoples Bankshares
Westport Fuel Systems
Northview Acquisition
Bbx Capital
Saga Communications
Aurora Mobile
Acumen Pharmaceuticals
Genenta Science Spa
Amtech Systems
Klx Energy Services
